especies;guia;comentarios
Silvery Grebe;etapa/astudillo;
Andean Teal;etapa/astudillo;
Yellow-billed Pintail;etapa/astudillo;
Andean Duck;etapa/astudillo;
Black-crowned Night Heron;etapa/astudillo;
Black Vulture;etapa/astudillo;
Turkey Vulture;etapa/astudillo;
Andean Condor;etapa/astudillo;
Swallow-tailed Kite;etapa/astudillo;
Sharp-shinned Hawk;etapa;
Black-chested Buzzard-Eagle;etapa/astudillo;
Variable Hawk;etapa/astudillo;
Carunculated Caracara;etapa/astudillo;
American Kestrel;etapa;
Aplomado Falcon;etapa/astudillo;
Peregrine Falcon;etapa/astudillo;
Andean Guan;etapa;
Slate-colored Coot;etapa/astudillo;
Spotted Sandpiper;etapa/astudillo;
Baird's Sandpiper;etapa/astudillo;
Jameson's Snipe;etapa/astudillo;
Andean Lapwing;etapa/astudillo;
Andean Gull;etapa/astudillo;
Band-tailed Pigeon;etapa;
White-tipped Dove;etapa;
Golden-plumed Parakeet;etapa;
Barred Parakeet;etapa;
Red-faced Parrot;etapa;
White-capped Parrot;etapa;Viven en grupos numerosos en los bosques montanos en donde se alimentan de frutos. Son muy bulliciosos y se los puede ver posados en árboles altos. Frecuentemente realizan movimientos migratorios altitudinales en la cordillera. Es raro
Scaly-naped Amazon;etapa;
White-throated Screech-Owl;etapa;
Great Horned Owl;etapa/astudillo;
Andean Pygmy-Owl;etapa;
Rufous-banded Owl;etapa;
Rufous-bellied Nighthawk;etapa;
Band-winged Nightjar;etapa/astudillo;
White-collared Swift;etapa/astudillo;
Lesser Violetear;etapa;Habita el bosque montano, matorrales y claros adyacentes. Usualmente se alimenta a mediana altura, entre los arbustos. Se la encuentra al occidente del PNC, donde es rara
Sparkling Violetear;etapa/astudillo;
Speckled Hummingbird;etapa;
Ecuadorian Hillstar;etapa/astudillo;
Giant Hummingbird;etapa/astudillo;
Shining Sunbeam;etapa/astudillo;
Mountain Velvetbreast;etapa;
Great Sapphirewing;etapa/astudillo;
Collared Inca;etapa;
Rainbow Starfrontlet;etapa/astudillo;
Sword-billed Hummingbird;etapa;
Chestnut-breasted Coronet;etapa;Colibrí arbóreo que habita zonas de bosque y claros. La coloración anaranjada de su vientre permite una identificación rápida. En el PNC existen registros de la especie en los bosques al occidente, en donde es poco común.
Purple-throated Sunangel;etapa/astudillo;
Glowing Puffleg;etapa;
Sapphire-vented Puffleg;etapa/astudillo;
Black-tailed Trainbearer;etapa/astudillo;
Green-tailed Trainbearer;etapa/astudillo;
Purple-backed Thornbill;etapa/astudillo;
Viridian Metaltail;etapa/astudillo;
Violet-throated Metaltail;etapa/astudillo;
Tyrian Metaltail;etapa/astudillo;
Rainbow-bearded Thornbill;etapa/astudillo;
Blue-mantled Thornbill;etapa/astudillo;
White-bellied Woodstar;etapa;
Masked Trogon;etapa;
Gray-breasted Mountain-Toucan;etapa;
Crimson-mantled Woodpecker;etapa;
Bar-bellied Woodpecker;etapa;
Powerful Woodpecker;etapa;Habita los bosques montanos y bordes de bosque. Forman parejas y se los puede observar moviéndose entre troncos de árboles grandes a varias alturas. Es raro, con registros únicamente al occidente del PNC
Chestnut-winged Cinclodes;etapa/astudillo;
Stout-billed Cinclodes;etapa/astudillo;
Andean Tit-Spinetail;etapa/astudillo;
Azara's Spinetail;etapa/astudillo;
White-browed Spinetail;etapa;
Line-cheeked Spinetail;etapa/astudillo;
Mouse-colored Thistletail;etapa/astudillo;
Many-striped Canastero;etapa/astudillo;
Streaked Tuftedcheek;etapa;
Pearled Treerunner;etapa/astudillo;
Flammulated Treehunter;etapa;
Undulated Antpitta;etapa/astudillo;
Chestnut-crowned Antpitta;etapa;
Equatorial Antpitta;etapa/astudillo;
Tawny Antpitta;etapa/astudillo;
Blackish Tapaculo;etapa/astudillo;
Black-capped Tyrannulet;etapa;
Tawny-rumped Tyrannulet;etapa;
White-crested Elaenia;etapa/astudillo;
White-throated Tyrannulet;etapa/astudillo;
White-banded Tyrannulet;etapa/astudillo;
Tufted Tit-Tyrant;etapa/astudillo;
Agile Tit-Tyrant;etapa;
Streak-necked Flycatcher;etapa;Ocupa los bosques y zonas con arbustos. Se posa verticalmente inclinando la cabeza. Algunas veces se une a bandadas mixtas o se lo encuentra en agregaciones de tangaras u otras aves sobre árboles, donde es frecuente encontrarlo revoloteando junto a ramas cargadas de frutos. Habita las zonas de bosque al occidente del PNC, en donde es raro.
Cinnamon Flycatcher;etapa;
Black Phoebe;etapa/astudillo;
Brown-backed Chat-Tyrant;etapa/astudillo;
Rufous-breasted Chat-Tyrant;etapa/astudillo;
Chestnut-bellied Chat-Tyrant;etapa;
Crowned Chat-Tyrant;etapa/astudillo;
Yellow-bellied Chat-Tyrant;etapa;Ocupa los bosques montanos al occidente del PNC, y prefiere estar solo o en pareja, moviéndose en el follaje denso. A veces se lo puede observar en bandadas mixtas. Es poco común
Red-rumped Bush-Tyrant;etapa/astudillo;
Streak-throated Bush-Tyrant;etapa;
Smoky Bush-Tyrant;etapa;
Black-billed Shrike-Tyrant;etapa/astudillo;
Plain-capped Ground-Tyrant;etapa/astudillo;
Red-crested Cotinga;etapa/astudillo;
Turquoise Jay;etapa/astudillo;
Slaty-backed Nightingale-Thrush;etapa;
Great Thrush;etapa/astudillo;
Glossy-black Thrush;etapa;
White-capped Dipper;etapa/astudillo;
Brown-bellied Swallow;etapa/astudillo;
Grass Wren;etapa/astudillo;
Mountain Wren;etapa/astudillo;
Gray-breasted Wood-Wren;etapa;
Paramo Pipit;etapa/astudillo;
Slate-throated Redstart;etapa;
Spectacled Redstart;etapa/astudillo;
Black-crested Warbler;etapa/astudillo;
Russet-crowned Warbler;etapa/astudillo;
Cinereous Conebill;etapa/astudillo;
Blue-backed Conebill;etapa/astudillo;
Giant Conebill;etapa/astudillo;
Tit-like Dacnis;etapa/astudillo;
Masked Flowerpiercer;etapa/astudillo;
Black Flowerpiercer;etapa/astudillo;
White-sided Flowerpiercer;etapa;Habita el bosque montano y sus bordes. Se lo ve en pareja y en bandadas mixtas, moviéndose rápidamente entre el follaje, alimentándose de néctar e insectos. Está registrada en los bosques de estribación al occidente del PNC. Es poco común
Rufous-chested Tanager;etapa;
Blue-and-black Tanager;etapa/astudillo;
Scarlet-bellied Mountain Tanager;etapa/astudillo;
Lacrimose Mountain Tanager;etapa;
Blue-winged Mountain Tanager;etapa;
Black-chested Mountain Tanager;etapa;
Buff-banded Mountain Tanager;etapa/astudillo;
Superciliaried Hemispingus;etapa/astudillo;
Black-headed Hemispingus;etapa;Habita generalmente en la zona arbustiva del límite entre el bosque montano y páramo. Se lo ve en pareja o grupos pequeños y acompañando bandadas mixtas. Rebusca insectos entre el follaje. Es poco común.
Plushcap;etapa;
Golden Grosbeak;etapa;
Plain-colored Seedeater;etapa/astudillo;
Paramo Seedeater;etapa/astudillo;
Band-tailed Seedeater;etapa/astudillo;
Plumbeous Sierra Finch;etapa/astudillo;
Yellow-breasted Brushfinch;etapa/astudillo;
White-winged Brushfinch;etapa;Habita en matorrales, bosque abierto, áreas agrícolas y jardines. Vive en pareja y grupos pequeños que se mueven activamente a nivel bajo. Existen registros de la especie en los bosques montanos al occidente del PNC, en donde es poco común
Gray-browed Brushfinch;etapa/astudillo;
Rufous-collared Sparrow;etapa/astudillo;
Yellow-billed Cacique;etapa;
Hooded Siskin;etapa/astudillo;
Cocoi Heron;astudillo;
Neotropic Cormorant;astudillo;
American Barn Owl;astudillo;
Solitary Sandpiper;astudillo;
Pied-billed Grebe;astudillo;
Short-eared Owl;astudillo;
Peregrine Falcon;astudillo;
Greater Yellowlegs;astudillo;
Blue-winged Teal;astudillo;
Bank Swallow;astudillo;
Cinereous Harrier;astudillo;
Curve-billed Tinamou;astudillo;
Glossy Flowerpiercer;astudillo;
Ecuadorian Rail;astudillo;
White-cheeked Pintail;astudillo;
White-browed Ground-Tyrant;astudillo;
Lesser Yellowlegs;astudillo;
Swainson's Thrush;astudillo;
Ash-breasted Sierra Finch;astudillo;
Mountain Caracara;astudillo;
Torrent Duck;astudillo;
Blackburnian Warbler;ebird;Foto https://ebird.org/checklist/S44976573
Purple Gallinule;ebird;Foto https://ebird.org/checklist/S70512214
Puna Ibis;ebird;Foto https://ebird.org/checklist/S195403831
Wilson's Phalarope;ebird;Foto https://ebird.org/checklist/S70580151
Sora;ebird;Foto https://ebird.org/checklist/S32595830
Merlin;ebird;Foto https://ebird.org/checklist/S65652709
Common Gallinule;ebird;Foto https://ebird.org/checklist/S24852434
Eared Dove;ebird;Foto https://ebird.org/checklist/S151772263
Great Egret;ebird;Foto https://ebird.org/checklist/S50035796
Rufous-bellied Seedsnipe;ebird;Sonido https://ebird.org/checklist/S349847848
