especies;guia;comentarios
Andean Guan;uda;
White-cheeked Pintail;uda;
Yellow-billed Pintail;uda;
Andean Teal;uda;
Andean Duck;uda;
Band-winged Nightjar;uda;
White-collared Swift;uda;
Sparkling Violetear;uda;
Speckled Hummingbird;uda;
Shining Sunbeam;uda;
Mountain Velvetbreast;uda;
Rainbow Starfrontlet;uda;
Sword-billed Hummingbird;uda;
Great Sapphirewing;uda;
Purple-throated Sunangel;uda;
Sapphire-vented Puffleg;uda;
Glowing Puffleg;uda;
Black-tailed Trainbearer;uda;
Green-tailed Trainbearer;uda;
Tyrian Metaltail;uda;
Viridian Metaltail;uda;
Violet-throated Metaltail;uda;
White-bellied Woodstar;uda;
Purple-backed Thornbill;nuevo;Ver foto https://ebird.org/checklist/S220476086
Band-tailed Pigeon;uda;
White-tipped Dove;uda;
Eared Dove;uda;
Ecuadorian Rail;uda;
Slate-colored Coot;uda;
Jameson's Snipe;uda;
Andean Gull;uda;
Great Egret;uda;
Black Vulture;uda;
White-rumped Hawk;nuevo;Ver foto https://ebird.org/checklist/S86244368
White-throated Hawk;nuevo;Ver foto https://ebird.org/checklist/S91005085
Broad-winged Hawk;nuevo;Ver foto https://ebird.org/checklist/S229206568
Sharp-shinned Hawk;uda;
Variable Hawk;uda;
Black-chested Buzzard-Eagle;uda;
White-throated Screech-Owl;uda;no foto en eBird
Great Horned Owl;uda;
Andean Pygmy-Owl;uda;
Rufous-banded Owl;nuevo;Ver foto https://ebird.org/checklist/S114530415
Short-eared Owl;uda;
Masked Trogon;uda;
Gray-breasted Mountain-Toucan;uda;
Bar-bellied Woodpecker;uda;
Crimson-mantled Woodpecker;uda;
Carunculated Caracara;uda;
Mountain Caracara;nuevo;Ver foto https://ebird.org/checklist/S117252420
American Kestrel;uda;
Aplomado Falcon;uda;
Peregrine Falcon;uda;
Red-faced Parrot;uda;
Golden-plumed Parakeet;uda;
Streaked Tuftedcheek;uda;
Pacific Hornero;uda;
Flammulated Treehunter;uda;
Barred Becard;nuevo;Ver foto https://ebird.org/checklist/S113014676
Pearled Treerunner;uda;
White-browed Spinetail;uda;
Line-cheeked Spinetail;uda;
Azara's Spinetail;uda;
Rufous Spinetail;uda;No foto en eBird (Foto en Camino al Cielo)
Undulated Antpitta;uda;
Chestnut-crowned Antpitta;uda;
Equatorial Antpitta;uda;
Tawny Antpitta;uda;
Blackish Tapaculo;uda;
Black-capped Tyrannulet;uda;
Tawny-rumped Tyrannulet;uda;
White-crested Elaenia;uda;
White-throated Tyrannulet;uda;
White-banded Tyrannulet;uda;
Tufted Tit-Tyrant;uda;
Agile Tit-Tyrant;uda;
Cinnamon Flycatcher;uda;
Black-billed Shrike-Tyrant;uda;
Streak-throated Bush-Tyrant;uda;
Smoky Bush-Tyrant;uda;
Crowned Chat-Tyrant;uda;
Chestnut-bellied Chat-Tyrant;uda;No foto en eBird
Rufous-breasted Chat-Tyrant;uda;
Brown-backed Chat-Tyrant;uda;
Dusky-capped Flycatcher;uda;
Red-crested Cotinga;uda;
Turquoise Jay;uda;
Blue-and-white Swallow;uda;
Brown-bellied Swallow;uda;
Grass Wren;uda;
Mountain Wren;uda;
Gray-breasted Wood-Wren;uda;No foto en eBird
Swainson's Thrush;uda;
Great Thrush;uda;
White-capped Dipper;uda;
Hooded Siskin;uda;
Rufous-collared Sparrow;uda;
Yellow-breasted Brushfinch;uda;
Gray-browed Brushfinch;uda;
Peruvian Meadowlark;uda;
Yellow-billed Cacique;uda;
Mountain Cacique;uda;
Black-crested Warbler;uda;
Russet-crowned Warbler;uda;
Spectacled Redstart;uda;
Golden Grosbeak;uda;
Superciliaried Hemispingus;uda;
Black-headed Hemispingus;uda;
Rufous-chested Tanager;uda;
Scarlet-bellied Mountain Tanager;uda;
Black-chested Mountain Tanager;nuevo;Ver foto https://ebird.org/checklist/S101320230 
Buff-banded Mountain Tanager;uda;
Blue-and-black Tanager;uda;
Cinereous Conebill;uda;
Blue-backed Conebill;uda;
Golden-crowned Tanager;nuevo;Ver foto https://ebird.org/checklist/S224201788
Black Flowerpiercer;uda;
Masked Flowerpiercer;uda;
Band-tailed Seedeater;uda;
Plain-colored Seedeater;uda;
Paramo Seedeater;uda;
Plushcap;uda;
Fawn-breasted Tanager;nuevo;Ver foto https://ebird.org/checklist/S321604593
