especies;guia;comentarios
Tawny-breasted Tinamou;jocotoco;Rare
Andean Tinamou;jocotoco;Uncommon
Sharp-shinned Hawk;jocotoco;Fairly Common
Harris's Hawk;jocotoco;Uncommon
Black-chested Buzzard-Eagle;jocotoco;Uncommon
Broad-winged Hawk;jocotoco;Uncommon
American Kestrel;jocotoco;Uncommon
Turkey Vulture;jocotoco;Uncommon
Black Vulture;jocotoco;Uncommon
Andean Guan;jocotoco;Uncommon
Band-tailed Pigeon;jocotoco;Fairly Common
Eared Dove;jocotoco;Fairly Common
Maroon-chested Ground Dove;jocotoco;Rare
White-tipped Dove;jocotoco;Common
White-throated Quail-Dove;jocotoco;Uncommon
Red-billed Parrot;jocotoco;Rare
Common Squirrel-Cuckoo;jocotoco;Uncommon
Dark-billed Cuckoo;jocotoco;Rare
Black-billed Cuckoo;jocotoco;Rare
Striped Cuckoo;jocotoco;Common
Groove-billed Ani;jocotoco;Fairly Common
American Barn Owl;jocotoco;Uncommon
White-throated Screech-Owl;jocotoco;Uncommon
Peruvian Pygmy-Owl;jocotoco;Fairly Common
Mottled Owl;jocotoco;Fairly Common
Striped Owl;jocotoco;Rare
Buff-fronted Owl;jocotoco;Uncommon
Common Potoo;jocotoco;Rare
Short-tailed Nighthawk;jocotoco;Rare
Common Pauraque;jocotoco;Uncommon
Band-winged Nightjar;jocotoco;Uncommon
White-collared Swift;jocotoco;Uncommon
Chestnut-collared Swift;jocotoco;Uncommon
Chimney Swift;jocotoco;Rare
White-tipped Swift;jocotoco;Uncommon
Lesser Violetear;jocotoco;Uncommon
Sparkling Violetear;jocotoco;Uncommon
Western Emerald;jocotoco;Rare
Amazilia Hummingbird;jocotoco;Fairly Common
Speckled Hummingbird;jocotoco;Uncommon
Rainbow Starfrontlet;jocotoco;Uncommon
Long-billed Starthroat;jocotoco;Rare
Purple-collared Woodstar;jocotoco;Common
Little Woodstar;jocotoco;Fairly Common
Crimson-mantled Woodpecker;jocotoco;Uncommon
