Eared Dove
Sparkling Violetear
American Kestrel
Stygian Owl
Striped Owl
Oilbird
Purple Gallinule
Black-billed Cuckoo
Band-tailed Pigeon
Rufous-collared Sparrow
Golden Grosbeak
Great Thrush
Swainson's Thrush
Eastern Wood-Pewee
Croaking Ground Dove
Green-tailed Trainbearer
White-bellied Woodstar
Rusty Flowerpiercer
Cinereous Conebill
Chiguanco Thrush
Rufous-winged Tyrannulet
Alder Flycatcher
Black Phoebe
Pacific Hornero
Band-tailed Nightjar
Hooded Siskin
Striated Heron
Snowy-throated Kingbird
Brown-bellied Swallow
Cordilleran Parakeet
